"","shname","gid","stid","discname","discid","semnum","sum"
"215","ИС-Б11",222,3853,"Информатика",6,2,90
"216","ИС-Б11",222,3853,"Математический анализ",12,2,63
"217","ИС-Б11",222,3853,"Математический анализ",12,3,75
"218","ИС-Б11",222,3853,"Физика",14,2,75
"219","ИС-Б11",222,3853,"Физика",14,3,60
"220","ИС-Б11",222,3853,"Дискретная математика",23,2,61
"221","ИС-Б11",222,3853,"Математическая логика и теория алгоритмов",24,3,67
"222","ИС-Б11",222,3853,"Философия",26,3,100
"223","ИС-Б11",222,3853,"Информационные технологии",27,3,91
"224","ИС-Б11",222,3853,"Электротехника и электроника",28,3,82
"225","ИС-Б11",222,3853,"Объектно-ориентированное программирование",45,3,89
"226","ИС-Б11",222,3853,"Архитектура ЭВМ и систем",125,3,90
"227","ИС-Б11",222,3853,"Введение в специальность",171,2,95
"228","ИС-Б11",222,3853,"Учебная практика",339,2,95
"229","ИС-Б11",222,3853,"Программирование на языке высокого уровня",913,2,90
"230","ИС-Б11",222,3853,"История",1114,2,95
"231","ИС-Б11",222,3854,"Иностранный язык",2,2,86
"232","ИС-Б11",222,3854,"Иностранный язык",2,3,99
"233","ИС-Б11",222,3854,"Физическая культура",3,2,93
"234","ИС-Б11",222,3854,"Физическая культура",3,3,90
"235","ИС-Б11",222,3854,"Информатика",6,2,97
"236","ИС-Б11",222,3854,"Математический анализ",12,2,70
"237","ИС-Б11",222,3854,"Математический анализ",12,3,75
"238","ИС-Б11",222,3854,"Физика",14,2,65
"239","ИС-Б11",222,3854,"Физика",14,3,80
"240","ИС-Б11",222,3854,"Дискретная математика",23,2,72
"241","ИС-Б11",222,3854,"Математическая логика и теория алгоритмов",24,3,90
"242","ИС-Б11",222,3854,"Философия",26,3,97
"243","ИС-Б11",222,3854,"Информационные технологии",27,3,86
"244","ИС-Б11",222,3854,"Электротехника и электроника",28,3,92
"245","ИС-Б11",222,3854,"Объектно-ориентированное программирование",45,3,97
"246","ИС-Б11",222,3854,"Архитектура ЭВМ и систем",125,3,90
"247","ИС-Б11",222,3854,"Введение в специальность",171,2,95
"248","ИС-Б11",222,3854,"Учебная практика",339,2,95
"249","ИС-Б11",222,3854,"Программирование на языке высокого уровня",913,2,95
"250","ИС-Б11",222,3854,"История",1114,2,91
"251","ИС-Б11",222,3855,"Иностранный язык",2,2,95
"252","ИС-Б11",222,3855,"Иностранный язык",2,3,90
"253","ИС-Б11",222,3855,"Физическая культура",3,2,88
"254","ИС-Б11",222,3855,"Физическая культура",3,3,87
"255","ИС-Б11",222,3855,"Информатика",6,2,93
"256","ИС-Б11",222,3855,"Математический анализ",12,2,80
"257","ИС-Б11",222,3855,"Математический анализ",12,3,65
"258","ИС-Б11",222,3855,"Физика",14,2,65
"259","ИС-Б11",222,3855,"Физика",14,3,74
"260","ИС-Б11",222,3855,"Дискретная математика",23,2,78
"261","ИС-Б11",222,3855,"Математическая логика и теория алгоритмов",24,3,97
"262","ИС-Б11",222,3855,"Философия",26,3,100
"263","ИС-Б11",222,3855,"Информационные технологии",27,3,87
"264","ИС-Б11",222,3855,"Электротехника и электроника",28,3,96
"265","ИС-Б11",222,3855,"Объектно-ориентированное программирование",45,3,89
"266","ИС-Б11",222,3855,"Архитектура ЭВМ и систем",125,3,90
"267","ИС-Б11",222,3855,"Введение в специальность",171,2,95
"268","ИС-Б11",222,3855,"Учебная практика",339,2,95
"269","ИС-Б11",222,3855,"Программирование на языке высокого уровня",913,2,84
"270","ИС-Б11",222,3855,"История",1114,2,97
"271","ИС-Б11",222,3858,"Иностранный язык",2,2,75
"272","ИС-Б11",222,3858,"Иностранный язык",2,3,90
"273","ИС-Б11",222,3858,"Физическая культура",3,2,90
"274","ИС-Б11",222,3858,"Физическая культура",3,3,48
"275","ИС-Б11",222,3858,"Информатика",6,2,90
"276","ИС-Б11",222,3858,"Математический анализ",12,2,65
"277","ИС-Б11",222,3858,"Математический анализ",12,3,60
"278","ИС-Б11",222,3858,"Физика",14,2,65
"279","ИС-Б11",222,3858,"Физика",14,3,60
"280","ИС-Б11",222,3858,"Дискретная математика",23,2,76
"281","ИС-Б11",222,3858,"Математическая логика и теория алгоритмов",24,3,73
"282","ИС-Б11",222,3858,"Философия",26,3,31
"283","ИС-Б11",222,3858,"Информационные технологии",27,3,90
"284","ИС-Б11",222,3858,"Электротехника и электроника",28,3,65
"285","ИС-Б11",222,3858,"Объектно-ориентированное программирование",45,3,81
"286","ИС-Б11",222,3858,"Архитектура ЭВМ и систем",125,3,80
"287","ИС-Б11",222,3858,"Введение в специальность",171,2,95
"288","ИС-Б11",222,3858,"Учебная практика",339,2,95
"289","ИС-Б11",222,3858,"Программирование на языке высокого уровня",913,2,75
"290","ИС-Б11",222,3858,"История",1114,2,60
"291","ИС-Б11",222,3859,"Иностранный язык",2,2,90
"292","ИС-Б11",222,3859,"Иностранный язык",2,3,90
"293","ИС-Б11",222,3859,"Физическая культура",3,2,89
"294","ИС-Б11",222,3859,"Физическая культура",3,3,90
"295","ИС-Б11",222,3859,"Информатика",6,2,90
"296","ИС-Б11",222,3859,"Математический анализ",12,2,62
"297","ИС-Б11",222,3859,"Математический анализ",12,3,65
"298","ИС-Б11",222,3859,"Физика",14,2,65
"299","ИС-Б11",222,3859,"Физика",14,3,65
"300","ИС-Б11",222,3859,"Дискретная математика",23,2,86
"301","ИС-Б11",222,3859,"Математическая логика и теория алгоритмов",24,3,71
"302","ИС-Б11",222,3859,"Философия",26,3,86
"303","ИС-Б11",222,3859,"Информационные технологии",27,3,89
"304","ИС-Б11",222,3859,"Электротехника и электроника",28,3,94
"305","ИС-Б11",222,3859,"Объектно-ориентированное программирование",45,3,86
"306","ИС-Б11",222,3859,"Архитектура ЭВМ и систем",125,3,65
"307","ИС-Б11",222,3859,"Введение в специальность",171,2,95
"308","ИС-Б11",222,3859,"Учебная практика",339,2,95
"309","ИС-Б11",222,3859,"Программирование на языке высокого уровня",913,2,80
"310","ИС-Б11",222,3859,"История",1114,2,96
"311","ИС-Б11",222,3860,"Иностранный язык",2,2,100
"312","ИС-Б11",222,3860,"Иностранный язык",2,3,100
"313","ИС-Б11",222,3860,"Физическая культура",3,2,88
"314","ИС-Б11",222,3860,"Физическая культура",3,3,90
"315","ИС-Б11",222,3860,"Информатика",6,2,100
"316","ИС-Б11",222,3860,"Математический анализ",12,2,90
"317","ИС-Б11",222,3860,"Математический анализ",12,3,75
"318","ИС-Б11",222,3860,"Физика",14,2,95
"319","ИС-Б11",222,3860,"Физика",14,3,65
"320","ИС-Б11",222,3860,"Дискретная математика",23,2,93
"321","ИС-Б11",222,3860,"Математическая логика и теория алгоритмов",24,3,85
"322","ИС-Б11",222,3860,"Философия",26,3,91
"323","ИС-Б11",222,3860,"Информационные технологии",27,3,96
"324","ИС-Б11",222,3860,"Электротехника и электроника",28,3,84
"325","ИС-Б11",222,3860,"Объектно-ориентированное программирование",45,3,98
"326","ИС-Б11",222,3860,"Архитектура ЭВМ и систем",125,3,92
"327","ИС-Б11",222,3860,"Введение в специальность",171,2,100
"328","ИС-Б11",222,3860,"Учебная практика",339,2,95
"329","ИС-Б11",222,3860,"Программирование на языке высокого уровня",913,2,97
"330","ИС-Б11",222,3860,"История",1114,2,94
